,year,month,export_value,GDP_constant,import_value,inflation_percentage_change,interest_rate,manufac_prod_index,population,unemployment_rate,exchange_rate,consumer_price_index
67,2006,8,441777.0,582253.0,419115.0,0.0,0.75,87.34,62666514.0,1.36,37.64,80.7
68,2006,9,441777.0,582253.0,419115.0,-0.37,0.75,87.35,62711723.0,1.16,37.43,80.4
69,2006,10,448757.0,631230.0,423710.0,0.5,0.75,86.07,62754483.0,1.67,37.34,80.8
70,2006,11,448757.0,631230.0,423710.0,-0.12,0.75,88.77,62793679.0,1.23,36.54,80.7
71,2006,12,448757.0,631230.0,423710.0,0.0,0.75,87.92,62828695.0,0.96,35.83,80.7
72,2007,1,459719.0,642931.0,418051.0,-0.37,0.75,89.3,62858034.0,1.62,35.97,80.4
73,2007,2,459719.0,642931.0,418051.0,-0.37,0.75,89.15,62888464.0,1.49,35.74,80.1
74,2007,3,459719.0,642931.0,418051.0,0.62,0.75,90.18,62924096.0,1.61,35.06,80.6
75,2007,4,464369.0,609821.0,432638.0,0.87,0.75,90.03,62958182.0,1.73,34.87,81.3
76,2007,5,464369.0,609821.0,432638.0,0.86,0.75,92.12,63008448.0,1.59,34.62,82.0
77,2007,6,464369.0,609821.0,432638.0,0.0,0.75,90.53,63024072.0,1.39,34.58,82.0
78,2007,7,467142.0,614064.0,431821.0,0.0,0.75,92.09,62915055.0,1.21,33.71,82.0
79,2007,8,467142.0,614064.0,431821.0,-0.61,0.75,95.9,62957205.0,1.16,34.2,81.5
80,2007,9,467142.0,614064.0,431821.0,0.61,0.75,94.79,63002288.0,1.15,34.26,82.0
81,2007,10,504669.0,659697.0,455270.0,0.85,0.75,97.21,63041491.0,1.41,34.17,82.7
82,2007,11,504669.0,659697.0,455270.0,0.48,0.75,99.77,63009037.0,1.1,33.88,83.1
83,2007,12,504669.0,659697.0,455270.0,0.0,0.75,98.48,63038247.0,0.85,33.7,83.1
84,2008,1,511133.0,664313.0,485212.0,0.96,0.75,101.81,63063346.0,1.72,33.18,83.9
85,2008,2,511133.0,664313.0,485212.0,0.6,0.75,102.83,63087671.0,1.53,32.6,84.4
86,2008,3,511133.0,664313.0,485212.0,0.59,0.75,98.32,63114990.0,1.52,31.46,84.9
87,2008,4,522526.0,631313.0,478859.0,1.65,0.75,99.25,63138439.0,1.46,31.59,86.3
